Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23
f19b264b-f3bd-4d51-a6e0-178f4bdd664c,,Receiving the patient in ward,Receiving the patient in ward,Receiving the patient in ward,Question,Coded,,Yes;No,,
febdca98-6781-46d9-844d-1083abcc6132,,Verified patient details and wrist band,Verified patient details and wrist band,Verified patient details and wrist band,Question,Coded,,Yes;No,,
74f4dc7f-7441-49f2-8ca7-931d98d9063e,,Eye cleaned with Iodine,Eye cleaned with Iodine,Eye cleaned with Iodine,Question,Coded,,Yes;No,,
3f7d8a73-cd2a-44c8-9f0d-be436d45e79f,,Verified consent form,Verified consent form,Verified consent form,Question,Coded,,Yes;No,,
5baa7935-9bab-40b0-8edf-c031503811ab,,Preoperative instruction given,Preoperative instruction given,Preoperative instruction given,Question,Coded,,Yes;No,,
d6bb1269-1dce-414d-8180-c84b83bf5e66,,Pulse Rate,Pulse Rate,Pulse Rate,Question,Numeric,,,,
8cff7e7a-f4f4-4572-be76-e89c0fb7e6cb,,"IOP, Duct results attached","IOP, Duct results attached","IOP, Duct results attached",Question,Coded,,Yes;No,,
763bc614-87f5-44cc-a14a-5ddc8713de54,,A-scan report attached,A-scan report attached,A-scan report attached,Question,Coded,,Yes;No,,
53b03c5c-49ec-4636-8531-041cd4730c2f,,Culture sensitivity report attached (If required),Culture sensitivity report attached (If required),Culture sensitivity report attached (If required),Question,Coded,,Yes;No,,
5934c25c-007e-474e-a9f8-b11df72face4,,"Check stickers (Lens, Eye to be operated, systemic, monitoring, SMO)","Check stickers (Lens, Eye to be operated, systemic, monitoring, SMO)","Check stickers (Lens, Eye to be operated, systemic, monitoring, SMO)",Question,Coded,,Yes;No,,
1797af85-bfa4-46d0-80b6-2fa017a2498f,,Physician fitness,Physician fitness,Physician fitness,Question,Coded,,Yes;No,,
c2f1c1f7-944d-47ff-8194-b920d9d7773e,,Check case sheet,Check case sheet,Check case sheet,Question,Coded,,Yes;No,,
813966fa-7f2e-44c4-a53d-310546da1365,,Date,Date,Date,Question,Date,,,,
aad352f1-a735-43ae-b1a1-3ff29c932854,,Drug,Drug,Drug,Question,Text,,,,
085cad01-8be5-4cfb-95b4-80eb7daa8313,,Dosage,Dosage,Dosage,Question,Text,,,,
